time;inertia.phi;springDamper.tau
6.18000000000000E+00;2.50237766727580E-01;-9.91194393534527E-02
6.24000000000000E+00;2.51396160296184E-01;-8.20883106851912E-02
6.30000000000000E+00;2.52849477448447E-01;-6.31896604147754E-02
6.36000000000000E+00;2.54529912679054E-01;-4.31906074729702E-02
6.42000000000000E+00;2.56365698361496E-01;-2.28519198597757E-02
6.48000000000000E+00;2.58283835575973E-01;-2.90188307366342E-03
6.54000000000000E+00;2.60212708762458E-01;1.59871777947836E-02
6.60000000000000E+00;2.62084499884041E-01;3.32190590202061E-02
6.66000000000000E+00;2.63837329680966E-01;4.82900131476845E-02
6.72000000000000E+00;2.65417067320929E-01;6.08009116784624E-02
6.78000000000000E+00;2.66778764721597E-01;7.04650548728569E-02
6.84000000000000E+00;2.67887687442777E-01;7.71116101641638E-02
6.90000000000000E+00;2.68719929736218E-01;8.06848140335209E-02
6.96000000000000E+00;2.69262616549944E-01;8.12392119214162E-02
7.02000000000000E+00;2.69513709509589E-01;7.89313327736193E-02
7.08000000000000E+00;2.69481446703255E-01;7.40082959182544E-02
7.14000000000000E+00;2.69183457115557E-01;6.67939258434335E-02
7.20000000000000E+00;2.68645599510983E-01;5.76730037314918E-02
7.26000000000000E+00;2.67900582264765E-01;4.70743128822431E-02
7.32000000000000E+00;2.66986424979254E-01;3.54531388956904E-02
7.38000000000000E+00;2.65944824691474E-01;2.32738659833425E-02
7.44000000000000E+00;2.64819489142788E-01;1.09932700697325E-02
7.50000000000000E+00;2.63654497090147E-01;-9.54949914859532E-04
7.56000000000000E+00;2.62492741202660E-01;-1.21739358179961E-02
7.62000000000000E+00;2.61374502975016E-01;-2.23153489704474E-02
7.68000000000000E+00;2.60336201611117E-01;-3.10886784363799E-02
7.74000000000000E+00;2.59409350327270E-01;-3.82679926295517E-02
7.80000000000000E+00;2.58619744350410E-01;-4.36960480222096E-02
7.86000000000000E+00;2.57986895401657E-01;-4.72857657648980E-02
7.92000000000000E+00;2.57523718007651E-01;-4.90191780945923E-02
7.98000000000000E+00;2.57236463898407E-01;-4.89440286147513E-02
8.04000000000000E+00;2.57124892326267E-01;-4.71682815361235E-02
8.10000000000000E+00;2.57182656630735E-01;-4.38528529502862E-02
8.16000000000000E+00;2.57397880987107E-01;-3.92029209077246E-02
8.22000000000000E+00;2.57753896169777E-01;-3.34581997983801E-02
8.28000000000000E+00;2.58230099437368E-01;-2.68825781565989E-02
8.34000000000000E+00;2.58802901355472E-01;-1.97535179392767E-02
8.40000000000000E+00;2.59446721510256E-01;-1.23515984493453E-02
8.46000000000000E+00;2.60134995579207E-01;-4.95056071869155E-03
8.52000000000000E+00;2.60841158015982E-01;2.19182999470092E-03
8.58000000000000E+00;2.61539567537774E-01;8.84183294274136E-03
8.64000000000000E+00;2.62206346507350E-01;1.47964748962845E-02
8.70000000000000E+00;2.62820109985234E-01;1.98888285900837E-02
8.76000000000000E+00;2.63362565481931E-01;2.39917280369034E-02
8.82000000000000E+00;2.63818970049260E-01;2.70198823374202E-02
8.88000000000000E+00;2.64178437097735E-01;2.89304076364505E-02
8.94000000000000E+00;2.64434091005214E-01;2.97218508356215E-02
9.00000000000000E+00;2.64583072996951E-01;2.94318269248586E-02
9.06000000000000E+00;2.64626406755468E-01;2.81334329916151E-02
9.12000000000000E+00;2.64568736612306E-01;2.59306350834662E-02
9.18000000000000E+00;2.64417954863731E-01;2.29528484535733E-02
9.24000000000000E+00;2.64184737651328E-01;1.93489469716459E-02
9.30000000000000E+00;2.63882010901132E-01;1.52809436341179E-02
9.36000000000000E+00;2.63524368999420E-01;1.09175814722617E-02
9.42000000000000E+00;2.63127469208735E-01;6.42806333944063E-03
9.48000000000000E+00;2.62707424332884E-01;1.97613091206868E-03
9.54000000000000E+00;2.62280214889533E-01;-2.28532117778197E-03
9.60000000000000E+00;2.61861140131191E-01;-6.21893963109283E-03
9.66000000000000E+00;2.61464324775522E-01;-9.70679194899015E-03
9.72000000000000E+00;2.61102295383116E-01;-1.26533433985201E-02
9.78000000000000E+00;2.60785637082827E-01;-1.49874803434314E-02
9.84000000000000E+00;2.60522737922572E-01;-1.66635650048224E-02
9.90000000000000E+00;2.60319624647107E-01;-1.76615413268141E-02
9.96000000000000E+00;2.60179890298008E-01;-1.79861435312773E-02
1.00200000000000E+01;2.60104710809383E-01;-1.76652871989676E-02
1.00800000000000E+01;2.60092944837324E-01;-1.67477465408430E-02
1.01400000000000E+01;2.60141308497275E-01;-1.53002403507648E-02
1.02000000000000E+01;2.60244614558992E-01;-1.34040625945415E-02
1.02600000000000E+01;2.60396064012139E-01;-1.11514015337531E-02
1.03200000000000E+01;2.60587576795254E-01;-8.64149375084162E-03
1.03800000000000E+01;2.60810147885845E-01;-5.97675666757050E-03
1.04400000000000E+01;2.61054214869912E-01;-3.25903553405635E-03
1.05000000000000E+01;2.61310023517866E-01;-5.86088957505775E-04
1.05600000000000E+01;2.61567978748059E-01;1.95157849667316E-03
1.06200000000000E+01;2.61818969603200E-01;4.27344651091684E-03
1.06800000000000E+01;2.62054658432753E-01;6.31120238736241E-03
1.07400000000000E+01;2.62267726292537E-01;8.01040965634271E-03
1.08000000000000E+01;2.62452068563286E-01;9.33159610944367E-03
1.08600000000000E+01;2.62602936873437E-01;1.02507571730497E-02
1.09200000000000E+01;2.62717025509932E-01;1.07592911429022E-02
1.09800000000000E+01;2.62792502540422E-01;1.08634016291513E-02
1.10400000000000E+01;2.62828987783187E-01;1.05830190621349E-02
1.11000000000000E+01;2.62827481488266E-01;9.95030684252439E-03
1.11600000000000E+01;2.62790249085202E-01;9.00782836833075E-03
1.12200000000000E+01;2.62720668571296E-01;7.80645854421402E-03
1.12800000000000E+01;2.62623048032784E-01;6.40312740966763E-03
1.13400000000000E+01;2.62502421395332E-01;4.85848426608890E-03
1.14000000000000E+01;2.62364330787035E-01;3.23456830416819E-03
1.14600000000000E+01;2.62214603875156E-01;1.59256649712436E-03
1.15200000000000E+01;2.62059134225896E-01;-9.26821910551866E-06
1.15800000000000E+01;2.61903672162320E-01;-1.51747529461894E-03
1.16400000000000E+01;2.61753632794434E-01;-2.88496972419552E-03
1.17000000000000E+01;2.61613926908474E-01;-4.07231089565014E-03
1.17600000000000E+01;2.61488819274899E-01;-5.04863123548289E-03
1.18200000000000E+01;2.61381817713834E-01;-5.79221211862396E-03
1.18800000000000E+01;2.61295594990831E-01;-6.29070752675131E-03
1.19400000000000E+01;2.61231944351387E-01;-6.54102818218795E-03
1.20000000000000E+01;2.61191768283779E-01;-6.54890997044796E-03
1.20600000000000E+01;2.61175098966146E-01;-6.32820007529709E-03
1.21200000000000E+01;2.61181147839989E-01;-5.89990213682065E-03
1.21800000000000E+01;2.61208380886599E-01;-5.29102773121641E-03
1.22400000000000E+01;2.61254615486988E-01;-4.53330546274032E-03
1.23000000000000E+01;2.61317134233975E-01;-3.66180093075020E-03
1.23600000000000E+01;2.61392810744316E-01;-2.71350083697849E-03
1.24200000000000E+01;2.61478242389210E-01;-1.72591264472900E-03
1.24800000000000E+01;2.61569884916489E-01;-7.35727665262693E-04
1.25400000000000E+01;2.61664184164727E-01;2.22409551531330E-04
1.26000000000000E+01;2.61757700450354E-01;1.11698884573027E-03
1.26600000000000E+01;2.61847221721537E-01;1.92054953593765E-03
1.27200000000000E+01;2.61929862191387E-01;2.61040114073435E-03
1.27800000000000E+01;2.62003143860418E-01;3.16913594819113E-03
1.28400000000000E+01;2.62065059085059E-01;3.58492770254252E-03
1.29000000000000E+01;2.62114113116705E-01;3.85161846162350E-03
1.29600000000000E+01;2.62149346296119E-01;3.96860293814388E-03
1.30200000000000E+01;2.62170336315092E-01;3.94052615009357E-03
1.30800000000000E+01;2.62177181627641E-01;3.77681578719342E-03
1.31400000000000E+01;2.62170467686621E-01;3.49107521106842E-03
